Removed Layers,ASR
[0],0.9666666666666667
[1],0.9666666666666667
[2],0.00666666666666671
[3],0.010000000000000009
[4],0.0033333333333332993
[5],0.00666666666666671
[6],0.0
[7],0.013333333333333308
[8],0.00666666666666671
[9],0.0033333333333332993
[10],0.00666666666666671
[11],0.010000000000000009
[12],0.0033333333333332993
[13],0.00666666666666671
[14],0.010000000000000009
[15],0.00666666666666671
[16],0.00666666666666671
[17],0.00666666666666671
[18],0.00666666666666671
[19],0.010000000000000009
[20],0.00666666666666671
[21],0.00666666666666671
[22],0.0033333333333332993
[23],0.00666666666666671
[24],0.00666666666666671
[25],0.010000000000000009
[26],0.0033333333333332993
[27],0.0033333333333332993
[28],0.00666666666666671
[29],0.00666666666666671
[30],0.0033333333333332993
