Removed Layers,ASR
[0],0.9666666666666667
[1],0.9666666666666667
[2],0.01666666666666672
[3],0.00666666666666671
[4],0.0033333333333332993
[5],0.0033333333333332993
[6],0.0
[7],0.013333333333333308
[8],0.00666666666666671
[9],0.00666666666666671
[10],0.00666666666666671
[11],0.00666666666666671
[12],0.0033333333333332993
[13],0.00666666666666671
[14],0.00666666666666671
[15],0.0033333333333332993
[16],0.0033333333333332993
[17],0.00666666666666671
[18],0.010000000000000009
[19],0.0
[20],0.0033333333333332993
[21],0.00666666666666671
[22],0.00666666666666671
[23],0.00666666666666671
[24],0.00666666666666671
[25],0.00666666666666671
[26],0.0033333333333332993
[27],0.00666666666666671
[28],0.00666666666666671
[29],0.00666666666666671
[30],0.00666666666666671
